Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
9/6/21 11:50,Ogilvie,MN,USA,Oval,,I went to my deck looking at the sky saw to s/e a round oval shape was like a very bright yellowish then it moved fast up then as it di,10/19/21,
9/6/21 10:26,Indianapolis,IN,USA,Cylinder,30 seconds,Former law enforcement officer reported slender black cigar-shaped object with 7 lights.,10/26/21,
9/6/21 06:25,Indianapolis,IN,USA,,,MADAR Node 21,6/22/22,
9/5/21 23:00,Fairbanks,AK,USA,Sphere,2 minutes,Fairbanks PD sees UFO,10/19/21,
9/5/21 23:00,Lake Elsinore,CA,USA,Triangle,1 minute,Was sitting upstairs feeding baby and looking out window to pass time. Saw lights in the form of a triangle above the house across the,9/7/21,
9/5/21 22:00,Sinking Spring,PA,USA,Fireball,3 minutes,2 fire-like orbes circling in the sky,9/7/21,
9/5/21 21:00,Tralee,County Kerry,Ireland,Light,Few minutes but lost time,Abduction of my grandmother and great aunt,5/31/22,
9/5/21 20:47,Chester,PA,USA,Fireball,2 minutes,A fire ball of an object appeared over my house. It was sitting in one place as I filmed it but began to move when the film started. It,9/7/21,
9/5/21 19:12,Morrison,CO,USA,Circle,,Live Photo on camera captured object flying across the screen,4/22/22,Yes
9/5/21 11:31,Norris City,IL,USA,,,MADAR Node 115,10/19/21,
9/5/21 11:29,Malibu,CA,USA,Cigar,30 seconds,UFO's above Decker Canyon,10/19/21,
9/5/21 09:30,Everett,MA,USA,Chevron,10 minute,"2 objects flying very close to each other, I thought it looked really dangerous as I thought at first they were planes, 4 more appeared",9/7/21,
9/5/21 06:14,Royal Palm Beach,FL,USA,,,MADAR Node 76,10/19/21,
9/5/21 04:54,Grand Junction,CO,USA,,,MADAR Node 75,10/19/21,
9/4/21 22:30,Pittsburgh,PA,USA,Sphere,2 minutes,Definitely not an aircraft.,9/7/21,
9/4/21 21:00,Midlothian,VA,USA,Unknown,30 seconds,"Two objects seen flying together over Chesterfield,VA",9/7/21,
9/4/21 20:15,Baltimore,MD,USA,Light,2 minutes,"Orange Light Formation that disappears over Baltimore City, MD, Sept. 2021",6/22/22,
9/4/21 19:20,grandview,MO,USA,Other,at least 15 minutes.,it was the 2 gray holes in the sky not clouds cause there was not a cloud in the sky.,5/31/22,
9/4/21 18:30,Dover,PA,USA,Sphere,20 minutes,Two formations of smaller objects came together to form two larger objects disappeared and reappeared miles away.,9/7/21,
9/4/21 18:13,Santa Claus,IN,USA,,,MADAR Node 114,10/19/21,
9/4/21 16:42,Hanover,MD,USA,,,MADAR Node 77,10/19/21,
9/4/21 15:53,Eads,TN,USA,,,MADAR Node 32,10/19/21,
